,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
0,62.637,153.333,313.0,2.0,1.4,2021-07-14,00:25,T,39,6.1NRT,289.4,25.0,D
1,62.614,153.522,316.6,1.9,1.4,2021-07-14,00:25,T,61,6.1NRT,293.7,29.7,D
2,62.612,153.56,312.5,1.9,1.4,2021-07-14,00:25,T,48,6.1NRT,290.5,22.8,D
3,62.596,152.925,312.5,2.0,1.4,2021-07-14,00:25,T,69,6.1NRT,287.9,26.7,D
4,62.594,152.965,307.6,2.0,1.4,2021-07-14,00:25,T,25,6.1NRT,287.0,17.4,D
5,62.595,152.919,311.5,2.0,1.4,2021-07-14,00:25,T,70,6.1NRT,287.1,23.5,D
6,62.593,152.959,309.0,2.0,1.4,2021-07-14,00:25,T,48,6.1NRT,287.0,19.4,D
7,53.041,158.767,312.0,1.0,1.0,2021-07-14,00:25,T,39,6.1NRT,275.4,12.3,D
8,62.488,168.61,315.4,1.0,1.0,2021-07-14,00:25,T,71,6.1NRT,300.3,6.8,D
9,64.073,144.838,314.3,4.1,1.9,2021-07-14,00:25,T,50,6.1NRT,291.7,61.3,D
10,64.07,144.831,312.4,4.1,1.9,2021-07-14,00:25,T,54,6.1NRT,291.2,53.9,D
11,62.469,168.724,330.0,1.0,1.0,2021-07-14,00:25,T,79,6.1NRT,296.5,24.1,D
12,61.932,166.873,320.0,1.0,1.0,2021-07-14,00:25,T,14,6.1NRT,285.8,9.5,D
13,63.313,167.69,328.6,1.0,1.0,2021-07-14,00:25,T,35,6.1NRT,298.0,19.4,D
14,61.737,167.363,332.9,1.0,1.0,2021-07-14,00:25,T,50,6.1NRT,290.0,26.9,D
15,61.714,167.325,339.8,1.0,1.0,2021-07-14,00:25,T,73,6.1NRT,292.7,34.2,D
16,61.712,167.282,340.0,1.0,1.0,2021-07-14,00:25,T,91,6.1NRT,293.9,34.1,D
17,61.709,167.301,332.0,1.0,1.0,2021-07-14,00:25,T,54,6.1NRT,289.9,21.9,D
18,61.624,165.86,330.8,1.0,1.0,2021-07-14,00:25,T,32,6.1NRT,289.5,22.5,D
19,61.622,165.878,340.8,1.0,1.0,2021-07-14,00:25,T,71,6.1NRT,291.5,37.1,D
20,62.486,168.738,323.5,1.0,1.0,2021-07-14,00:25,T,79,6.1NRT,295.1,17.5,D
21,61.619,165.836,324.1,1.0,1.0,2021-07-14,00:25,T,80,6.1NRT,291.0,18.0,D
22,61.591,166.017,315.2,1.0,1.0,2021-07-14,00:25,T,62,6.1NRT,279.3,11.4,D
23,61.61,165.77,320.5,1.0,1.0,2021-07-14,00:25,T,77,6.1NRT,290.4,14.6,D
24,62.883,144.052,309.1,4.3,1.9,2021-07-14,00:25,T,67,6.1NRT,287.9,52.6,D
25,62.884,144.137,303.8,4.3,1.9,2021-07-14,00:25,T,29,6.1NRT,287.8,26.5,D
26,62.653,153.541,318.1,1.9,1.4,2021-07-14,00:25,T,69,6.1NRT,295.6,32.7,D
27,61.84,166.79,337.0,1.6,1.3,2021-07-14,00:40,A,89,6.1NRT,286.5,65.9,D
28,61.889,166.833,316.2,1.6,1.3,2021-07-14,00:40,A,31,6.1NRT,288.5,18.1,D
29,61.932,166.854,320.0,1.6,1.2,2021-07-14,00:40,A,43,6.1NRT,288.8,26.2,D
30,61.926,166.826,314.6,1.6,1.3,2021-07-14,00:40,A,35,6.1NRT,289.1,17.0,D
31,62.469,168.717,324.1,1.4,1.2,2021-07-14,00:40,A,73,6.1NRT,297.8,26.0,D
32,62.483,168.731,322.6,1.4,1.2,2021-07-14,00:40,A,76,6.1NRT,295.7,23.9,D
33,62.641,166.586,321.8,1.6,1.2,2021-07-14,00:40,A,64,6.1NRT,289.4,30.5,D
34,61.713,167.319,326.2,1.6,1.2,2021-07-14,00:40,A,43,6.1NRT,291.6,33.9,D
35,61.735,167.361,328.1,1.6,1.2,2021-07-14,00:40,A,64,6.1NRT,290.6,41.5,D
36,61.729,167.335,333.8,1.6,1.2,2021-07-14,00:40,A,65,6.1NRT,294.2,53.9,D
37,61.621,165.89,318.4,1.8,1.3,2021-07-14,00:40,A,64,6.1NRT,282.0,30.6,D
38,-16.026,144.2,313.6,1.1,1.0,2021-07-14,00:45,T,53,6.1NRT,299.2,6.2,D
39,-13.824,142.258,311.7,1.0,1.0,2021-07-14,00:45,T,20,6.1NRT,293.7,5.9,D
40,-12.659,135.267,312.0,2.7,1.6,2021-07-14,00:45,T,59,6.1NRT,296.1,20.7,D
41,-11.921,132.701,313.9,4.4,1.9,2021-07-14,00:45,T,47,6.1NRT,294.4,52.3,D
42,-12.921,141.652,311.7,1.0,1.0,2021-07-14,00:45,T,45,6.1NRT,292.6,5.6,D
43,-6.258,145.162,315.8,1.0,1.0,2021-07-14,00:45,T,74,6.1NRT,293.9,10.8,D
