latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
27.993,22.328,301.6,1.4,1.2,2021-03-18,00:05,A,42,6.0NRT,279.9,13.7,N
29.231,19.7,304.2,2.2,1.5,2021-03-18,00:05,A,59,6.0NRT,278.6,32.4,N
28.911,19.783,319,2.2,1.4,2021-03-18,00:05,A,98,6.0NRT,281.6,66.8,N
-17.992,-26.849,306,1,1,2021-03-18,00:25,T,41,6.0NRT,295.5,4.2,N
-5.859,-35.645,302.1,1.9,1.4,2021-03-18,00:30,T,46,6.0NRT,291.6,9.6,N
35.025,136.884,307.7,2.2,1.4,2021-03-18,01:10,T,50,6.0NRT,292.8,14.7,D
36.264,139.483,315.5,1.6,1.2,2021-03-18,01:10,T,71,6.0NRT,290.7,21,D
-4.095,138.94,312.4,1.3,1.1,2021-03-18,01:20,T,43,6.0NRT,297.7,10.1,D
-3.722,143.288,309,2.8,1.6,2021-03-18,01:20,T,61,6.0NRT,290,21.2,D
-2.611,140.671,317.7,1.7,1.3,2021-03-18,01:20,T,15,6.0NRT,296.7,19.7,D
-5.958,141.098,307.5,2,1.4,2021-03-18,01:20,T,0,6.0NRT,290.2,15.2,D
-4.569,136.881,318.1,1.1,1,2021-03-18,01:20,T,27,6.0NRT,298.8,9.1,D
-31.182,117.639,319,4,1.9,2021-03-18,01:30,T,65,6.0NRT,303.5,51.8,D
-31.296,117.726,328.9,3.9,1.8,2021-03-18,01:30,T,80,6.0NRT,303.8,132,D
-31.301,117.719,318.1,3.9,1.8,2021-03-18,01:30,T,61,6.0NRT,303.1,45.5,D
52.157,10.403,300.8,1,1,2021-03-18,01:35,A,33,6.0NRT,273.5,9.4,N
40.332,-7.685,305.2,4.4,1.9,2021-03-18,01:40,A,63,6.0NRT,281.8,91.4,N
45.145,9.953,303.4,1.1,1,2021-03-18,01:40,A,55,6.0NRT,274.7,12.4,N
43.448,4.906,301.7,1,1,2021-03-18,01:40,A,43,6.0NRT,278.5,9.2,N
40.329,-7.692,306.2,4.4,1.9,2021-03-18,01:40,A,67,6.0NRT,282.2,95.8,N
32.518,6.712,302.2,1.2,1.1,2021-03-18,01:40,A,47,6.0NRT,277.8,13.7,N
31.663,6.052,366.8,1.2,1.1,2021-03-18,01:40,A,100,6.0NRT,279.1,142.8,N
31.661,6.064,352.5,1.2,1.1,2021-03-18,01:40,A,100,6.0NRT,277,93.3,N
31.597,5.955,308.5,1.2,1.1,2021-03-18,01:40,A,75,6.0NRT,279.4,16.9,N
31.595,5.967,321.8,1.2,1.1,2021-03-18,01:40,A,100,6.0NRT,280,31.3,N
28.125,0.306,303.1,1.1,1,2021-03-18,01:40,A,53,6.0NRT,284,8.6,N
28.124,0.316,303.2,1.1,1,2021-03-18,01:40,A,54,6.0NRT,284,8.7,N
5.363,4.362,305.1,2.7,1.6,2021-03-18,01:50,A,20,6.0NRT,286.5,20.3,N
-21.177,-49.24,308,1.1,1,2021-03-18,02:05,T,73,6.0NRT,287,9.3,N
-22.796,-49.398,316.7,1.1,1,2021-03-18,02:05,T,94,6.0NRT,288.2,16.6,N
9.374,-64.531,306.2,2.3,1.5,2021-03-18,02:15,T,67,6.0NRT,290.6,18.3,N
8.588,-67.26,304.1,3.8,1.8,2021-03-18,02:15,T,58,6.0NRT,290.2,28.5,N
9.649,-63.562,308.6,1.9,1.3,2021-03-18,02:15,T,31,6.0NRT,284.5,22.8,N
9.559,-63.628,306.3,1.9,1.3,2021-03-18,02:15,T,67,6.0NRT,289.7,17.1,N
9.384,-64.553,309.8,2.3,1.5,2021-03-18,02:15,T,78,6.0NRT,290.6,26.9,N
9.653,-63.615,315.4,1.9,1.3,2021-03-18,02:15,T,85,6.0NRT,289.3,32.7,N
9.65,-63.632,347.1,1.9,1.3,2021-03-18,02:15,T,100,6.0NRT,290.9,144.2,N
9.775,-63.27,304.7,1.8,1.3,2021-03-18,02:15,T,61,6.0NRT,289.8,12.5,N
9.622,-63.732,327.8,1.9,1.4,2021-03-18,02:15,T,100,6.0NRT,290.4,67.3,N
9.624,-63.715,312.9,1.9,1.4,2021-03-18,02:15,T,86,6.0NRT,290,29.9,N
9.627,-63.698,301.7,1.9,1.4,2021-03-18,02:15,T,39,6.0NRT,289.6,10.8,N
9.646,-63.579,308.7,1.9,1.3,2021-03-18,02:15,T,49,6.0NRT,285.3,21.7,N
8.597,-67.255,306.1,3.8,1.8,2021-03-18,02:15,T,67,6.0NRT,290.3,36.9,N
-44.655,171.079,313.2,1.2,1.1,2021-03-18,02:25,A,71,6.0NRT,294.6,12.8,D
-43.962,171.805,311.3,1.1,1,2021-03-18,02:30,A,68,6.0NRT,294.9,9,D
-38.419,175.123,312.3,1.1,1.1,2021-03-18,02:30,A,71,6.0NRT,294.5,8.9,D
-42.854,172.67,324.6,1,1,2021-03-18,02:30,A,83,6.0NRT,300.1,18.7,D
-43.525,172.099,361.4,1.1,1,2021-03-18,02:30,A,100,6.0NRT,302.7,94.3,D
-43.523,172.113,336.9,1.1,1,2021-03-18,02:30,A,90,6.0NRT,297,38.3,D
-43.521,172.207,312.4,1.1,1,2021-03-18,02:30,A,70,6.0NRT,297,8.2,D
-39.669,174.843,303.3,1.1,1,2021-03-18,02:30,A,42,6.0NRT,292.3,4.5,D
-43.862,172.259,327.9,1.1,1,2021-03-18,02:30,A,80,6.0NRT,295.7,25.4,D
-43.863,172.245,333.6,1.1,1,2021-03-18,02:30,A,88,6.0NRT,295.4,33.9,D
-43.96,171.818,306.4,1.1,1,2021-03-18,02:30,A,51,6.0NRT,293.9,5.2,D
-43.81,172.022,333.9,1.1,1,2021-03-18,02:30,A,88,6.0NRT,296.1,35,D
45.983,123.731,310,1,1,2021-03-18,02:45,T,55,6.0NRT,286.1,8.2,D
50.997,127.895,321.6,1.1,1,2021-03-18,02:45,T,61,6.0NRT,277,23.6,D
50.995,127.91,348.7,1.1,1,2021-03-18,02:45,T,95,6.0NRT,278.7,68.3,D
50.538,127.609,307.3,1.1,1,2021-03-18,02:45,T,61,6.0NRT,276.5,11.2,D
50.534,127.576,303.9,1.1,1,2021-03-18,02:45,T,45,6.0NRT,276.9,8.9,D
50.399,128.299,316.7,1.1,1.1,2021-03-18,02:45,T,77,6.0NRT,274.5,20.9,D
50.395,128.264,302.9,1.1,1,2021-03-18,02:45,T,25,6.0NRT,274.1,8.8,D
49.943,128.499,360.3,1.1,1.1,2021-03-18,02:45,T,100,6.0NRT,280,109.4,D
46.627,123.263,315.7,1,1,2021-03-18,02:45,T,76,6.0NRT,287.5,12.7,D
46.613,123.225,302.3,1,1,2021-03-18,02:45,T,50,6.0NRT,286.8,3.8,D
46.612,123.171,302.1,1,1,2021-03-18,02:45,T,51,6.0NRT,288.2,3.4,D
46.703,122.387,307,1,1,2021-03-18,02:45,T,65,6.0NRT,286.6,6.3,D
44.63,123.84,301.3,1,1,2021-03-18,02:45,T,46,6.0NRT,282.1,4.9,D
44.847,123.76,300.5,1,1,2021-03-18,02:45,T,37,6.0NRT,285.2,3,D
45.147,122.42,306.1,1,1,2021-03-18,02:45,T,58,6.0NRT,290.1,4.9,D
45.188,122.777,304.5,1,1,2021-03-18,02:45,T,35,6.0NRT,288.1,3.6,D
45.197,122.78,308.6,1,1,2021-03-18,02:45,T,67,6.0NRT,287.9,6.3,D
45.093,123.604,303.9,1,1,2021-03-18,02:45,T,44,6.0NRT,284.9,4.7,D
44.992,124.313,301.2,1,1,2021-03-18,02:45,T,43,6.0NRT,283.3,4.1,D
45.228,122.756,306,1,1,2021-03-18,02:45,T,29,6.0NRT,288.2,3.9,D
45.241,122.733,327.3,1,1,2021-03-18,02:45,T,74,6.0NRT,289.4,22.4,D
45.242,122.721,310.6,1,1,2021-03-18,02:45,T,30,6.0NRT,289,6.5,D
45.264,122.701,307.7,1,1,2021-03-18,02:45,T,65,6.0NRT,288,5.4,D
45.289,123.041,307.3,1,1,2021-03-18,02:45,T,63,6.0NRT,288.2,5.4,D
45.29,123.028,310.3,1,1,2021-03-18,02:45,T,70,6.0NRT,288.7,7.6,D
45.299,123.096,304.5,1,1,2021-03-18,02:45,T,59,6.0NRT,287.7,3.8,D
45.308,123.099,304.4,1,1,2021-03-18,02:45,T,59,6.0NRT,287.4,3.7,D
45.422,122.304,306.1,1,1,2021-03-18,02:45,T,62,6.0NRT,286.3,6.2,D
45.42,122.449,309.1,1,1,2021-03-18,02:45,T,68,6.0NRT,285.8,7.8,D
45.422,122.436,306.4,1,1,2021-03-18,02:45,T,49,6.0NRT,285.7,5.9,D
45.415,122.677,304.8,1,1,2021-03-18,02:45,T,60,6.0NRT,288.8,4.9,D
45.417,122.665,306.5,1,1,2021-03-18,02:45,T,54,6.0NRT,289.3,5.6,D
45.472,122.272,300.4,1,1,2021-03-18,02:45,T,35,6.0NRT,285.8,3.1,D
45.474,122.259,302.1,1,1,2021-03-18,02:45,T,51,6.0NRT,287.1,3.8,D
45.458,122.439,305.2,1,1,2021-03-18,02:45,T,61,6.0NRT,287.7,4.8,D
45.445,122.66,308.3,1,1,2021-03-18,02:45,T,25,6.0NRT,290.6,5.9,D
45.451,122.622,348.2,1,1,2021-03-18,02:45,T,84,6.0NRT,292,50.8,D
45.44,122.763,304.6,1,1,2021-03-18,02:45,T,59,6.0NRT,288.1,5.1,D
45.477,122.498,317.4,1,1,2021-03-18,02:45,T,78,6.0NRT,287.3,14.1,D
45.436,122.854,302.9,1,1,2021-03-18,02:45,T,54,6.0NRT,287.9,4.2,D
45.393,123.208,305.4,1,1,2021-03-18,02:45,T,58,6.0NRT,287.4,3.7,D
45.511,122.52,321.1,1,1,2021-03-18,02:45,T,44,6.0NRT,284.7,15.7,D
45.512,122.579,316.2,1,1,2021-03-18,02:45,T,44,6.0NRT,288,12,D
